"AllTRLs_ID","month","avg_pred"
102,"01",84
102,"02",56
102,"03",116
102,"04",229
102,"05",254
102,"06",346
102,"07",584
102,"08",555
102,"09",339
102,"10",142
102,"11",113
102,"12",87
