"AllTRLs_ID","month","avg_pred"
38,"01",84
38,"02",56
38,"03",116
38,"04",228
38,"05",255
38,"06",349
38,"07",588
38,"08",559
38,"09",340
38,"10",142
38,"11",113
38,"12",87
