"AllTRLs_ID","month","avg_pred"
97,"01",84
97,"02",56
97,"03",116
97,"04",228
97,"05",257
97,"06",347
97,"07",588
97,"08",559
97,"09",341
97,"10",142
97,"11",113
97,"12",87
