"AllTRLs_ID","month","avg_pred"
5,"01",14
5,"02",7
5,"03",20
5,"04",50
5,"05",57
5,"06",80
5,"07",130
5,"08",122
5,"09",67
5,"10",18
5,"11",11
5,"12",7
