"AllTRLs_ID","month","avg_pred"
105,"01",84
105,"02",56
105,"03",118
105,"04",229
105,"05",257
105,"06",371
105,"07",615
105,"08",579
105,"09",349
105,"10",144
105,"11",114
105,"12",88
