"AllTRLs_ID","month","avg_pred"
95,"01",84
95,"02",56
95,"03",117
95,"04",230
95,"05",255
95,"06",348
95,"07",587
95,"08",559
95,"09",344
95,"10",141
95,"11",113
95,"12",87
